Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0179453183	101324.997	101324.997	101324.997	101324.997	0	0	0	12.8006	0	0	3
2	2	0	0.0358906366	101325.035	101325.016	101324.997	101325.035	0.018988931	0	0	11.5821	0	0	3
3	2	0	0.0538359549	101324.978	101325.003	101324.978	101325.035	0.018988931	0	0	9.53694	0	0	3
4	3	0	0.0717812732	101324.987	101324.999	101324.978	101325.035	0.018988931	0	0	10.0196	0	0	3
5	3	0	0.0897265915	101324.977	101324.995	101324.977	101325.035	0.0212773625	0	0	10.1285	0	0	3
6	4	0	0.10767191	101324.988	101324.993	101324.977	101325.035	0.0223501503	0	0	5.62132	0	0	3
7	4	0	0.125617228	101324.989	101324.993	101324.977	101325.035	0.0230537969	0	0	4.05292	0	0	3
8	5	0	0.143562546	101324.99	101324.992	101324.977	101325.035	0.0233391245	0	0	2.875	0	0	3
9	6	0	0.161507865	101324.997	101324.993	101324.977	101325.035	0.0233391245	0	0	3.45221	0	0	3
10	6	0	0.179453183	101324.998	101324.993	101324.977	101325.035	0.0233391245	0	0	3.33185	0	0	3
11	7	0	0.197398501	101325.001	101324.994	101324.977	101325.035	0.0233391245	0	0	2.70841	0	0	3
12	7	0	0.21534382	101324.998	101324.995	101324.977	101325.035	0.0233391245	0	0	2.47405	0	0	3
13	8	0	0.233289138	101325.003	101324.995	101324.977	101325.035	0.0233391245	0	0	2.68411	0	0	3
14	8	0	0.251234456	101325.003	101324.996	101324.977	101325.035	0.0233391245	0	0	3.082	0	0	3
15	9	0	0.269179775	101325.004	101324.996	101324.977	101325.035	0.0233391245	0	0	2.13654	0	0	3
16	10	0	0.287125093	101325.002	101324.997	101324.977	101325.035	0.0233391245	0	0	1.91447	0	0	3
17	10	0	0.305070411	101325.003	101324.997	101324.977	101325.035	0.0233391245	0	0	2.09459	0	0	3
18	11	0	0.323015729	101325.002	101324.997	101324.977	101325.035	0.0233391245	0	0	1.89446	0	0	3
19	11	0	0.340961048	101325.002	101324.998	101324.977	101325.035	0.0233391245	0	0	1.75863	0	0	3
20	12	0	0.358906366	101325.001	101324.998	101324.977	101325.035	0.0233391245	0	0	1.40852	0	0	3
21	12	0	0.376851684	101325.001	101324.998	101324.977	101325.035	0.0233391245	0	0	1.1808	0	0	3
22	13	0	0.394797003	101325.001	101324.998	101324.977	101325.035	0.0233391245	0	0	1.20176	0	0	3
23	13	0	0.412742321	101325	101324.998	101324.977	101325.035	0.0233391245	0	0	1.15536	0	0	3
24	14	0	0.430687639	101325	101324.998	101324.977	101325.035	0.0233391245	0	0	1.10277	0	0	3
25	14	0	0.448632958	101325	101324.998	101324.977	101325.035	0.0233391245	0	0	0.923772	0	0	3
26	15	0	0.466578276	101325	101324.998	101324.977	101325.035	0.0233391245	0	0	0.941449	0	0	3
27	15	0	0.484523594	101325	101324.998	101324.977	101325.035	0.0233391245	0	0	0.832513	0	0	3
28	16	0	0.502468912	101325	101324.999	101324.977	101325.035	0.0233391245	0	0	0.812189	0	0	3
29	16	0	0.520414231	101325	101324.999	101324.977	101325.035	0.0233391245	0	0	0.746296	0	0	3
30	17	0	0.538359549	101325	101324.997	101324.977	101325.004	0.0105674497	0	0	0.782337	0	0	3
31	17	0	0.556304867	101325	101324.998	101324.977	101325.004	0.00655513414	0	0	0.742817	0	0	3
32	18	0	0.574250186	101325	101324.999	101324.977	101325.004	0.0061191812	0	0	0.739512	0	0	3
33	18	0	0.592195504	101325	101324.999	101324.988	101325.004	0.00694808063	0	0	0.732929	0	0	3
34	18	0	0.610140822	101325	101325	101324.989	101325.004	0.00737241513	0	0	0.801302	0	0	3
35	19	0	0.628086141	101325	101325	101324.99	101325.004	0.00776754101	0	0	0.846802	0	0	3
36	19	0	0.646031459	101325	101325.001	101324.997	101325.004	0.00704092972	0	0	0.799253	0	0	3
37	20	0	0.663976777	101325	101325.001	101324.998	101325.004	0.00660291157	0	0	0.836654	0	0	3
38	20	0	0.681922095	101325	101325.001	101324.998	101325.004	0.0059359048	0	0	0.849639	0	0	3
39	20	0	0.699867414	101325	101325.001	101324.998	101325.004	0.0059359048	0	0	0.840439	0	0	3
40	21	0	0.717812732	101325	101325.001	101325	101325.004	0.00466177541	0	0	0.833634	0	0	3
41	21	0	0.73575805	101325	101325.001	101325	101325.004	0.00466177541	0	0	0.82981	0	0	3
42	22	0	0.753703369	101325	101325.001	101325	101325.004	0.0044672693	0	0	0.820319	0	0	3
43	22	0	0.771648687	101325	101325	101325	101325.003	0.00307875544	0	0	0.816493	0	0	3
44	23	0	0.789594005	101325	101325	101325	101325.003	0.00307875544	0	0	0.817477	0	0	3
45	23	0	0.807539324	101325	101325	101325	101325.002	0.00257823787	0	0	0.808101	0	0	3
46	23	0	0.825484642	101325	101325	101325	101325.002	0.00238898088	0	0	0.810412	0	0	3
47	24	0	0.84342996	101325	101325	101325	101325.001	0.00175750859	0	0	0.811385	0	0	3
48	24	0	0.861375279	101325	101325	101325	101325.001	0.00175750859	0	0	0.815102	0	0	3
49	25	0	0.879320597	101325	101325	101325	101325.001	0.00114909485	0	0	0.816503	0	0	3
50	25	0	0.897265915	101325	101325	101325	101325	0.000830246048	0	0	0.818477	0	0	3
51	25	0	0.915211233	101325	101325	101325	101325	0.000665718399	0	0	0.821069	0	0	3
52	26	0	0.933156552	101325	101325	101325	101325	0.000476954388	0	0	0.807779	0	0	3
53	26	0	0.95110187	101325	101325	101325	101325	0.000487227808	0	0	0.726491	0	0	3
54	27	0	0.969047188	101325	101325	101325	101325	0.000487227808	0	0	0.663439	0	0	3
55	27	0	0.986992507	101325	101325	101325	101325	0.000487227808	0	0	0.665829	0	0	3
56	28	0	1.00493782	101325	101325	101325	101325	0.000487227808	0.00101325	100	0.667216	0	0	3
57	28	0	1.02288314	101325	101325	101325	101325	0.000487227808	0.00101325	100	0.67654	0	0	3
58	28	0	1.04082846	101325	101325	101325	101325	0.000487227808	0.00101325	100	0.653652	0	0	3
59	29	0	1.05877378	101325	101325	101325	101325	0.000487227808	0.00101325	100	0.667023	0	0	3
60	29	0	1.0767191	101325	101325	101325	101325	0.000487227808	0.00101325	100	0.686125	0	0	3
61	30	0	1.09466442	101325	101325	101325	101325	0.000487227808	0.00101325	100	0.687209	0	0	3
62	30	0	1.11260973	101325	101325	101325	101325	0.000487227808	0.00101325	100	0.677349	0	0	3
63	30	0	1.13055505	101325	101325	101325	101325	0.000338430691	0.00101325	100	0.626807	0	0	3
64	31	0	1.14850037	101325	101325	101325	101325	0.000263306181	0.00101325	100	0.638065	0	0	3
65	31	0	1.16644569	101325	101325	101325	101325	0.000263306181	0.00101325	100	0.649488	0	0	3
66	32	0	1.18439101	101325	101325	101325	101325	0.000263306181	0.00101325	100	0.665453	0	0	3
67	32	0	1.20233633	101325	101325	101325	101325	0.000263306181	0.00101325	100	0.683397	0	0	3
68	33	0	1.22028164	101325	101325	101325	101325	0.000263306181	0.00101325	100	0.70005	0	0	3
69	33	0	1.23822696	101325	101325	101325	101325	0.000263306181	0.00101325	100	0.714879	0	0	3
70	33	0	1.25617228	101325	101325	101325	101325	0.000263306181	0.00101325	100	0.717549	0	0	3
71	34	0	1.2741176	101325	101325	101325	101325	0.000263306181	0.00101325	100	0.716271	0	0	3
72	34	0	1.29206292	101325	101325	101325	101325	0.000263306181	0.00101325	100	0.726381	0	0	3
73	35	0	1.31000824	101325	101325	101325	101325	0.00024395746	0.00101325	100	0.687341	0	0	3
74	35	0	1.32795355	101325	101325	101325	101325	0.000169822422	0.00101325	100	0.70175	0	0	3
75	35	0	1.34589887	101325	101325	101325	101325	0.000119819204	0.00101325	100	0.715552	0	0	3
76	36	0	1.36384419	101325	101325	101325	101325	6.81437959e-005	0.00101325	100	0.69025	0	0	3
77	36	0	1.38178951	101325	101325	101325	101325	5.23413764e-005	0.00101325	100	0.706482	0	0	3
78	37	0	1.39973483	101325	101325	101325	101325	5.23413764e-005	0.00101325	100	0.726106	0	0	3
79	37	0	1.41768015	101325	101325	101325	101325	5.23413764e-005	0.00101325	100	0.724752	0	0	3
80	38	0	1.43562546	101325	101325	101325	101325	5.23413764e-005	0.00101325	100	0.737118	0	0	3
81	38	0	1.45357078	101325	101325	101325	101325	5.23413764e-005	0.00101325	100	0.746939	0	0	3
82	38	0	1.4715161	101325	101325	101325	101325	5.23413764e-005	0.00101325	100	0.757312	0	0	3
83	39	0	1.48946142	101325	101325	101325	101325	5.03812189e-005	0.00101325	100	0.762979	0	0	3
84	39	0	1.50740674	101325	101325	101325	101325	4.01555735e-005	0.00101325	100	0.768322	0	0	3
85	40	0	1.52535206	101325	101325	101325	101325	3.64600564e-005	0.00101325	100	0.773179	0	0	3
86	40	0	1.54329737	101325	101325	101325	101325	3.69362097e-005	0.00101325	100	0.758892	0	0	3
87	41	0	1.56124269	101325	101325	101325	101325	3.69362097e-005	0.00101325	100	0.704546	0	0	3
88	41	0	1.57918801	101325	101325	101325	101325	3.69362097e-005	0.00101325	100	0.64931	0	0	3
89	42	0	1.59713333	101325	101325	101325	101325	3.69362097e-005	0.00101325	100	0.654399	0	0	3
90	42	0	1.61507865	101325	101325	101325	101325	4.25812905e-005	0.00101325	100	0.660577	0	0	3
91	43	0	1.63302397	101325	101325	101325	101325	4.25812905e-005	0.00101325	100	0.668098	0	0	3
92	43	0	1.65096928	101325	101325	101325	101325	4.32351226e-005	0.00101325	100	0.681255	0	0	3
93	43	0	1.6689146	101325	101325	101325	101325	3.81345017e-005	0.00101325	100	0.691755	0	0	3
94	44	0	1.68685992	101325	101325	101325	101325	3.49089387e-005	0.00101325	100	0.70384	0	0	3
95	44	0	1.70480524	101325	101325	101325	101325	2.97182705e-005	0.00101325	100	0.712701	0	0	3
96	45	0	1.72275056	101325	101325	101325	101325	2.67157448e-005	0.00101325	100	0.72162	0	0	3
97	45	0	1.74069588	101325	101325	101325	101325	2.67157448e-005	0.00101325	100	0.730955	0	0	3
98	45	0	1.75864119	101325	101325	101325	101325	2.67157448e-005	0.00101325	100	0.719672	0	0	3
99	46	0	1.77658651	101325	101325	101325	101325	2.67157448e-005	0.00101325	100	0.718349	0	0	3
100	46	0	1.79453183	101325	101325	101325	101325	2.67157448e-005	0.00101325	100	0.722299	0	0	3
101	47	0	1.81247715	101325	101325	101325	101325	2.67157448e-005	0.00101325	100	0.725716	0	0	3
102	47	0	1.83042247	101325	101325	101325	101325	2.75493512e-005	0.00101325	100	0.731166	0	0	3
103	48	0	1.84836779	101325	101325	101325	101325	2.8600989e-005	0.00101325	100	0.737761	0	0	3
104	48	0	1.8663131	101325	101325	101325	101325	2.8600989e-005	0.00101325	100	0.744594	0	0	3
105	49	0	1.88425842	101325	101325	101325	101325	2.68108561e-005	0.00101325	100	0.752115	0	0	3
106	49	0	1.90220374	101325	101325	101325	101325	2.394701e-005	0.00101325	100	0.75765	0	0	3
107	49	0	1.92014906	101325	101325	101325	101325	2.35775224e-005	0.00101325	100	0.763531	0	0	3
108	50	0	1.93809438	101325	101325	101325	101325	2.16837798e-005	0.00101325	100	0.76708	0	0	3
109	50	0	1.95603969	101325	101325	101325	101325	2.24499236e-005	0.00101325	100	0.77177	0	0	3
110	51	0	1.97398501	101325	101325	101325	101325	2.41709931e-005	0.00101325	100	0.776424	0	0	3
111	51	0	1.99193033	101325	101325	101325	101325	2.55823252e-005	0.00101325	100	0.745024	0	0	3
112	51	0	2.00987565	101325	101325	101325	101325	2.53191829e-005	0.00101325	100	0.778802	0	0	3
113	52	0	2.02782097	101325	101325	101325	101325	2.53191829e-005	0.00101325	100	0.612966	0	0	3
114	52	0	2.04576629	101325	101325	101325	101325	2.53191829e-005	0.00101325	100	0.644942	0	0	3
115	53	0	2.0637116	101325	101325	101325	101325	2.49377626e-005	0.00101325	100	0.517622	0	0	3
116	53	0	2.08165692	101325	101325	101325	101325	2.49377626e-005	0.00101325	100	0.555431	0	0	3
117	54	0	2.09960224	101325	101325	101325	101325	1.93716114e-005	0.00101325	100	0.561272	0	0	3
118	54	0	2.11754756	101325	101325	101325	101325	1.93716114e-005	0.00101325	100	0.603551	0	0	3
119	54	0	2.13549288	101325	101325	101325	101325	1.76353351e-005	0.00101325	100	0.627496	0	0	3
120	55	0	2.1534382	101325	101325	101325	101325	1.630529e-005	0.00101325	100	0.656406	0	0	3
121	55	0	2.17138351	101325	101325	101325	101325	1.64452358e-005	0.00101325	100	0.534378	0	0	3
122	56	0	2.18932883	101325	101325	101325	101325	1.64452358e-005	0.00101325	100	0.549602	0	0	3
123	56	0	2.20727415	101325	101325	101325	101325	1.64452358e-005	0.00101325	100	0.582743	0	0	3
124	56	0	2.22521947	101325	101325	101325	101325	1.64452358e-005	0.00101325	100	0.614479	0	0	3
125	57	0	2.24316479	101325	101325	101325	101325	1.95573521e-005	0.00101325	100	0.645818	0	0	3
126	57	0	2.26111011	101325	101325	101325	101325	1.95328321e-005	0.00101325	100	0.671026	0	0	3
127	58	0	2.27905542	101325	101325	101325	101325	2.19123904e-005	0.00101325	100	0.698674	0	0	3
128	58	0	2.29700074	101325	101325	101325	101325	2.2924607e-005	0.00101325	100	0.730897	0	0	3
129	59	0	2.31494606	101325	101325	101325	101325	2.42043461e-005	0.00101325	100	0.623557	0	0	3
130	59	0	2.33289138	101325	101325	101325	101325	2.62630492e-005	0.00101325	100	0.650167	0	0	3
131	59	0	2.3508367	101325	101325	101325	101325	2.62630492e-005	0.00101325	100	0.661533	0	0	3
132	60	0	2.36878202	101325	101325	101325	101325	2.62630492e-005	0.00101325	100	0.64104	0	0	3
133	60	0	2.38672733	101325	101325	101325	101325	2.62630492e-005	0.00101325	100	0.665003	0	0	3
134	61	0	2.40467265	101325	101325	101325	101325	2.62630492e-005	0.00101325	100	0.688901	0	0	3
135	61	0	2.42261797	101325	101325	101325	101325	2.62630492e-005	0.00101325	100	0.717915	0	0	3
136	61	0	2.44056329	101325	101325	101325	101325	2.62630492e-005	0.00101325	100	0.744841	0	0	3
137	62	0	2.45850861	101325	101325	101325	101325	2.62630492e-005	0.00101325	100	0.769384	0	0	3
138	62	0	2.47645393	101325	101325	101325	101325	2.74499034e-005	0.00101325	100	0.792128	0	0	3
139	63	0	2.49439924	101325	101325	101325	101325	2.91865872e-005	0.00101325	100	0.679534	0	0	3
140	63	0	2.51234456	101325	101325	101325	101325	3.51169147e-005	0.00101325	100	0.686685	0	0	3
141	64	0	2.53028988	101325	101325	101325	101325	3.51169147e-005	0.00101325	100	0.696943	0	0	3
142	64	0	2.5482352	101325	101325	101325	101325	3.85935127e-005	0.00101325	100	0.693871	0	0	3
143	64	0	2.56618052	101325	101325	101325	101325	3.85935127e-005	0.00101325	100	0.69193	0	0	3
144	65	0	2.58412584	101325	101325	101325	101325	3.46395827e-005	0.00101325	100	0.701375	0	0	3
145	65	0	2.60207115	101325	101325	101325	101325	3.46395827e-005	0.00101325	100	0.711475	0	0	3
146	66	0	2.62001647	101325	101325	101325	101325	3.30191397e-005	0.00101325	100	0.722135	0	0	3
147	66	0	2.63796179	101325	101325	101325	101325	3.30191397e-005	0.00101325	100	0.731999	0	0	3
148	66	0	2.65590711	101325	101325	101325	101325	3.39757098e-005	0.00101325	100	0.740952	0	0	3
149	67	0	2.67385243	101325	101325	101325	101325	3.39757098e-005	0.00101325	100	0.74055	0	0	3
150	67	0	2.69179775	101325	101325	101325	101325	3.19922547e-005	0.00101325	100	0.747588	0	0	3
151	68	0	2.70974306	101325	101325	101325	101325	3.1966425e-005	0.00101325	100	0.749332	0	0	3
152	68	0	2.72768838	101325	101325	101325	101325	2.77896033e-005	0.00101325	100	0.752668	0	0	3
153	69	0	2.7456337	101325	101325	101325	101325	2.68406293e-005	0.00101325	100	0.754076	0	0	3
154	69	0	2.76357902	101325	101325	101325	101325	2.51785386e-005	0.00101325	100	0.756404	0	0	3
155	69	0	2.78152434	101325	101325	101325	101325	2.51785386e-005	0.00101325	100	0.760363	0	0	3
156	70	0	2.79946966	101325	101325	101325	101325	2.51785386e-005	0.00101325	100	0.745653	0	0	3
157	70	0	2.81741497	101325	101325	101325	101325	2.51785386e-005	0.00101325	100	0.658415	0	0	3
158	71	0	2.83536029	101325	101325	101325	101325	2.51785386e-005	0.00101325	100	0.615605	0	0	3
159	71	0	2.85330561	101325	101325	101325	101325	2.33547034e-005	0.00101325	100	0.615484	0	0	3
160	71	0	2.87125093	101325	101325	101325	101325	2.33547034e-005	0.00101325	100	0.646674	0	0	3
161	72	0	2.88919625	101325	101325	101325	101325	2.3253946e-005	0.00101325	100	0.677939	0	0	3
162	72	0	2.90714156	101325	101325	101325	101325	2.3253946e-005	0.00101325	100	0.70623	0	0	3
163	73	0	2.92508688	101325	101325	101325	101325	2.34843901e-005	0.00101325	100	0.725794	0	0	3
164	73	0	2.9430322	101325	101325	101325	101325	2.24527466e-005	0.00101325	100	0.681958	0	0	3
165	73	0	2.96097752	101325	101325	101325	101325	1.9069601e-005	0.00101325	100	0.687279	0	0	3
166	74	0	2.97892284	101325	101325	101325	101325	1.88296108e-005	0.00101325	100	0.671885	0	0	3
167	74	0	2.99686816	101325	101325	101325	101325	1.88296108e-005	0.00101325	100	0.696244	0	0	3
168	75	0	3.01481347	101325	101325	101325	101325	1.88296108e-005	0.00101325	100	0.714232	0	0	3
169	75	0	3.03275879	101325	101325	101325	101325	1.88296108e-005	0.00101325	100	0.641502	0	0	3
170	75	0	3.05070411	101325	101325	101325	101325	1.88296108e-005	0.00101325	100	0.618664	0	0	3
171	76	0	3.06864943	101325	101325	101325	101325	1.88296108e-005	0.00101325	100	0.634812	0	0	3
172	76	0	3.08659475	101325	101325	101325	101325	1.88296108e-005	0.00101325	100	0.661238	0	0	3
173	77	0	3.10454007	101325	101325	101325	101325	1.88296108e-005	0.00101325	100	0.691636	0	0	3
174	77	0	3.12248538	101325	101325	101325	101325	1.88296108e-005	0.00101325	100	0.720536	0	0	3
175	78	0	3.1404307	101325	101325	101325	101325	1.88296108e-005	0.00101325	100	0.74598	0	0	3
176	78	0	3.15837602	101325	101325	101325	101325	1.88296108e-005	0.00101325	100	0.770134	0	0	3
177	78	0	3.17632134	101325	101325	101325	101325	1.88296108e-005	0.00101325	100	0.781212	0	0	3
178	79	0	3.19426666	101325	101325	101325	101325	1.88296108e-005	0.00101325	100	0.703739	0	0	3
179	79	0	3.21221198	101325	101325	101325	101325	1.89764542e-005	0.00101325	100	0.725748	0	0	3
180	80	0	3.23015729	101325	101325	101325	101325	2.2661945e-005	0.00101325	100	0.691779	0	0	3
181	80	0	3.24810261	101325	101325	101325	101325	2.50228477e-005	0.00101325	100	0.703826	0	0	3
182	80	0	3.26604793	101325	101325	101325	101325	2.55426858e-005	0.00101325	100	0.722885	0	0	3
183	81	0	3.28399325	101325	101325	101325	101325	2.55426858e-005	0.00101325	100	0.698188	0	0	3
184	81	0	3.30193857	101325	101325	101325	101325	2.55806954e-005	0.00101325	100	0.701351	0	0	3
185	82	0	3.31988389	101325	101325	101325	101325	2.56257917e-005	0.00101325	100	0.731682	0	0	3
186	82	0	3.3378292	101325	101325	101325	101325	2.19901267e-005	0.00101325	100	0.62344	0	0	3
187	83	0	3.35577452	101325	101325	101325	101325	2.19901267e-005	0.00101325	100	0.582746	0	0	3
188	83	0	3.37371984	101325	101325	101325	101325	2.19901267e-005	0.00101325	100	0.593499	0	0	3
189	83	0	3.39166516	101325	101325	101325	101325	2.19901267e-005	0.00101325	100	0.606731	0	0	3
190	84	0	3.40961048	101325	101325	101325	101325	2.19901267e-005	0.00101325	100	0.620311	0	0	3
191	84	0	3.4275558	101325	101325	101325	101325	2.19901267e-005	0.00101325	100	0.633484	0	0	3
192	85	0	3.44550111	101325	101325	101325	101325	2.19901267e-005	0.00101325	100	0.644348	0	0	3
193	85	0	3.46344643	101325	101325	101325	101325	2.19901267e-005	0.00101325	100	0.6632	0	0	3
194	85	0	3.48139175	101325	101325	101325	101325	2.19901267e-005	0.00101325	100	0.675859	0	0	3
195	86	0	3.49933707	101325	101325	101325	101325	2.20836519e-005	0.00101325	100	0.664505	0	0	3
196	86	0	3.51728239	101325	101325	101325	101325	2.31993035e-005	0.00101325	100	0.672983	0	0	3
197	87	0	3.53522771	101325	101325	101325	101325	2.26765696e-005	0.00101325	100	0.687578	0	0	3
198	87	0	3.55317302	101325	101325	101325	101325	2.22509843e-005	0.00101325	100	0.681665	0	0	3
199	87	0	3.57111834	101325	101325	101325	101325	2.12975865e-005	0.00101325	100	0.686589	0	0	3
200	88	0	3.58906366	101325	101325	101325	101325	2.12975865e-005	0.00101325	100	0.709647	0	0	3
201	88	0	3.60700898	101325	101325	101325	101325	1.95645844e-005	0.00101325	100	0.706843	0	0	3
202	89	0	3.6249543	101325	101325	101325	101325	1.93723245e-005	0.00101325	100	0.730935	0	0	3
203	89	0	3.64289962	101325	101325	101325	101325	1.80967763e-005	0.00101325	100	0.753202	0	0	3
204	90	0	3.66084493	101325	101325	101325	101325	1.80967763e-005	0.00101325	100	0.774821	0	0	3
205	90	0	3.67879025	101325	101325	101325	101325	1.80967763e-005	0.00101325	100	0.707887	0	0	3
206	90	0	3.69673557	101325	101325	101325	101325	1.74573506e-005	0.00101325	100	0.746265	0	0	3
207	91	0	3.71468089	101325	101325	101325	101325	1.70729181e-005	0.00101325	100	0.749545	0	0	3
208	91	0	3.73262621	101325	101325	101325	101325	1.70729181e-005	0.00101325	100	0.71153	0	0	3
209	92	0	3.75057153	101325	101325	101325	101325	1.70729181e-005	0.00101325	100	0.734379	0	0	3
210	92	0	3.76851684	101325	101325	101325	101325	1.70729181e-005	0.00101325	100	0.752356	0	0	3
211	92	0	3.78646216	101325	101325	101325	101325	1.70729181e-005	0.00101325	100	0.745768	0	0	3
212	93	0	3.80440748	101325	101325	101325	101325	1.70729181e-005	0.00101325	100	0.766181	0	0	3
213	93	0	3.8223528	101325	101325	101325	101325	1.90720457e-005	0.00101325	100	0.782131	0	0	3
214	94	0	3.84029812	101325	101325	101325	101325	2.60204979e-005	0.00101325	100	0.802291	0	0	3
215	94	0	3.85824343	101325	101325	101325	101325	2.60204979e-005	0.00101325	100	0.820973	0	0	3
216	94	0	3.87618875	101325	101325	101325	101325	2.31465674e-005	0.00101325	100	0.834888	0	0	3
217	95	0	3.89413407	101325	101325	101325	101325	2.15417094e-005	0.00101325	100	0.746452	0	0	3
218	95	0	3.91207939	101325	101325	101325	101325	2.15417094e-005	0.00101325	100	0.73365	0	0	3
219	96	0	3.93002471	101325	101325	101325	101325	1.96993642e-005	0.00101325	100	0.769121	0	0	3
220	96	0	3.94797003	101325	101325	101325	101325	1.81103678e-005	0.00101325	100	0.767777	0	0	3
221	96	0	3.96591534	101325	101325	101325	101325	1.81103678e-005	0.00101325	100	0.700865	0	0	3
