Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0179453183	293.2	293.2	293.2	293.2	0	0	0	0.00178638	0	0	3
2	2	0	0.0358906366	293.2	293.2	293.2	293.2	1.15034027e-009	0	0	0.00188416	0	0	3
3	2	0	0.0538359549	293.2	293.2	293.2	293.2	2.38748044e-009	0	0	0.0019336	0	0	3
4	3	0	0.0717812732	293.2	293.2	293.2	293.2	3.94203425e-009	0	0	0.00193869	0	0	3
5	3	0	0.0897265915	293.2	293.2	293.2	293.2	5.51131052e-009	0	0	0.00210354	0	0	3
6	4	0	0.10767191	293.2	293.2	293.2	293.2	7.45887974e-009	0	0	0.00217234	0	0	3
7	4	0	0.125617228	293.2	293.2	293.2	293.2	9.48620027e-009	0	0	0.00220331	0	0	3
8	5	0	0.143562546	293.2	293.2	293.2	293.2	1.12797238e-008	0	0	0.00220996	0	0	3
9	6	0	0.161507865	293.2	293.2	293.2	293.2	1.36054723e-008	0	0	0.00214418	0	0	3
10	6	0	0.179453183	293.2	293.2	293.2	293.2	1.57533009e-008	0	0	0.00212849	0	0	3
11	7	0	0.197398501	293.2	293.2	293.2	293.2	1.88069862e-008	0	0	0.0020404	0	0	3
12	7	0	0.21534382	293.2	293.2	293.2	293.2	2.2354925e-008	0	0	0.00203757	0	0	3
13	8	0	0.233289138	293.2	293.2	293.2	293.2	2.67552309e-008	0	0	0.00200301	0	0	3
14	8	0	0.251234456	293.2	293.2	293.2	293.2	3.18214006e-008	0	0	0.00200778	0	0	3
15	9	0	0.269179775	293.2	293.2	293.2	293.2	3.77060019e-008	0	0	0.00201909	0	0	3
16	10	0	0.287125093	293.2	293.2	293.2	293.2	4.49460913e-008	0	0	0.00203324	0	0	3
17	10	0	0.305070411	293.2	293.2	293.2	293.2	5.3825886e-008	0	0	0.0020236	0	0	3
18	11	0	0.323015729	293.2	293.2	293.2	293.2	6.43772751e-008	0	0	0.00201069	0	0	3
19	11	0	0.340961048	293.2	293.2	293.2	293.2	7.68687869e-008	0	0	0.00200646	0	0	3
20	12	0	0.358906366	293.2	293.2	293.2	293.2	9.14002953e-008	0	0	0.00200848	0	0	3
21	12	0	0.376851684	293.2	293.2	293.2	293.2	1.10084159e-007	0	0	0.00203998	0	0	3
22	13	0	0.394797003	293.199999	293.2	293.199999	293.2	1.33083176e-007	0	0	0.00199703	0	0	3
23	13	0	0.412742321	293.199999	293.2	293.199999	293.2	1.6058533e-007	0	0	0.00202635	0	0	3
24	14	0	0.430687639	293.199999	293.2	293.199999	293.2	1.92728407e-007	0	0	0.00204683	0	0	3
25	14	0	0.448632958	293.199999	293.2	293.199999	293.2	2.2964872e-007	0	0	0.00204701	0	0	3
26	15	0	0.466578276	293.199999	293.2	293.199999	293.2	2.75390789e-007	0	0	0.00206781	0	0	3
27	15	0	0.484523594	293.199998	293.2	293.199998	293.2	3.30082855e-007	0	0	0.00209548	0	0	3
28	16	0	0.502468912	293.199998	293.2	293.199998	293.2	3.93521702e-007	0	0	0.00195271	0	0	3
29	16	0	0.520414231	293.199998	293.2	293.199998	293.2	4.81002928e-007	0	0	0.00203613	0	0	3
30	17	0	0.538359549	293.199997	293.199999	293.199997	293.2	5.82141183e-007	0	0	0.00204071	0	0	3
31	17	0	0.556304867	293.199997	293.199999	293.199997	293.2	7.04528588e-007	0	0	0.00203742	0	0	3
32	18	0	0.574250186	293.199996	293.199999	293.199996	293.2	8.49106414e-007	0	0	0.00208412	0	0	3
33	18	0	0.592195504	293.199995	293.199999	293.199995	293.2	1.01607372e-006	0	0	0.00213661	0	0	3
34	18	0	0.610140822	293.199995	293.199999	293.199995	293.2	1.2073221e-006	0	0	0.00212469	0	0	3
35	19	0	0.628086141	293.199994	293.199999	293.199994	293.2	1.4228487e-006	0	0	0.00215818	0	0	3
36	19	0	0.646031459	293.199993	293.199998	293.199993	293.2	1.67429988e-006	0	0	0.00220115	0	0	3
37	20	0	0.663976777	293.199992	293.199998	293.199992	293.2	1.9727608e-006	0	0	0.00220062	0	0	3
38	20	0	0.681922095	293.19999	293.199998	293.19999	293.2	2.32277279e-006	0	0	0.00235053	0	0	3
39	20	0	0.699867414	293.199988	293.199997	293.199988	293.2	2.72809069e-006	0	0	0.00231127	0	0	3
40	21	0	0.717812732	293.199987	293.199997	293.199987	293.2	3.19140418e-006	0	0	0.00242214	0	0	3
41	21	0	0.73575805	293.199984	293.199996	293.199984	293.2	3.74393198e-006	0	0	0.0024809	0	0	3
42	22	0	0.753703369	293.199982	293.199996	293.199982	293.2	4.39478117e-006	0	0	0.00246258	0	0	3
43	22	0	0.771648687	293.199979	293.199995	293.199979	293.2	5.14966666e-006	0	0	0.0026418	0	0	3
44	23	0	0.789594005	293.199975	293.199994	293.199975	293.2	6.011285e-006	0	0	0.00266372	0	0	3
45	23	0	0.807539324	293.199972	293.199993	293.199972	293.2	6.9831807e-006	0	0	0.00270446	0	0	3
46	23	0	0.825484642	293.199969	293.199992	293.199969	293.2	8.06566879e-006	0	0	0.00259866	0	0	3
47	24	0	0.84342996	293.199966	293.199991	293.199966	293.2	9.26174266e-006	0	0	0.00268553	0	0	3
48	24	0	0.861375279	293.199962	293.199989	293.199962	293.2	1.05803787e-005	0	0	0.00267551	0	0	3
49	25	0	0.879320597	293.199958	293.199988	293.199958	293.199999	1.20230987e-005	0	0	0.00282254	0	0	3
50	25	0	0.897265915	293.199955	293.199986	293.199955	293.199999	1.3593367e-005	0	0	0.00275281	0	0	3
51	25	0	0.915211233	293.19995	293.199984	293.19995	293.199999	1.53060739e-005	0	0	0.0027716	0	0	3
52	26	0	0.933156552	293.199946	293.199983	293.199946	293.199999	1.71608286e-005	0	0	0.00281529	0	0	3
53	26	0	0.95110187	293.199941	293.199981	293.199941	293.199999	1.91733545e-005	0	0	0.00264411	0	0	3
54	27	0	0.969047188	293.199937	293.199978	293.199937	293.199998	2.13346866e-005	0	0	0.0027093	0	0	3
55	27	0	0.986992507	293.199931	293.199976	293.199931	293.199998	2.36679009e-005	0	0	0.00274121	0	0	3
56	28	0	1.00493782	293.199926	293.199973	293.199926	293.199998	2.61591356e-005	2.93199926e-006	11.2	0.00274709	0	0	3
57	28	0	1.02288314	293.19992	293.199971	293.19992	293.199997	2.88382896e-005	2.9319992e-006	10.1	0.0027713	0	0	3
58	28	0	1.04082846	293.199914	293.199968	293.199914	293.199997	3.16926933e-005	2.93199914e-006	9.2	0.00282563	0	0	3
59	29	0	1.05877378	293.199908	293.199964	293.199908	293.199996	3.47137158e-005	2.93199908e-006	8.4	0.00275885	0	0	3
60	29	0	1.0767191	293.199902	293.199961	293.199902	293.199995	3.79034337e-005	2.93199902e-006	7.7	0.00273816	0	0	3
61	30	0	1.09466442	293.199896	293.199958	293.199896	293.199995	4.1255532e-005	2.93199896e-006	7.1	0.00284257	0	0	3
62	30	0	1.11260973	293.199889	293.199954	293.199889	293.199994	4.47927198e-005	2.93199889e-006	6.5	0.00275088	0	0	3
63	30	0	1.13055505	293.199883	293.19995	293.199883	293.199993	4.84891069e-005	2.94904648e-006	6	0.00276244	0	0	3
