Iteration	CPUTime	PhysTime	Travels	CourFact
1	1	0	0.0179453183	0
2	2	0	0.0358906366	0
3	2	0	0.0538359549	0
4	3	0	0.0717812732	0
5	3	0	0.0897265915	0
6	4	0	0.10767191	0
7	4	0	0.125617228	0
8	5	0	0.143562546	0
9	6	0	0.161507865	0
10	6	0	0.179453183	0
11	7	0	0.197398501	0
12	7	0	0.21534382	0
13	8	0	0.233289138	0
14	8	0	0.251234456	0
15	9	0	0.269179775	0
16	10	0	0.287125093	0
17	10	0	0.305070411	0
18	11	0	0.323015729	0
19	11	0	0.340961048	0
20	12	0	0.358906366	0
21	12	0	0.376851684	0
22	13	0	0.394797003	0
23	13	0	0.412742321	0
24	14	0	0.430687639	0
25	14	0	0.448632958	0
26	15	0	0.466578276	0
27	15	0	0.484523594	0
28	16	0	0.502468912	0
29	16	0	0.520414231	0
30	17	0	0.538359549	0
31	17	0	0.556304867	0
32	18	0	0.574250186	0
33	18	0	0.592195504	0
34	18	0	0.610140822	0
35	19	0	0.628086141	0
36	19	0	0.646031459	0
37	20	0	0.663976777	0
38	20	0	0.681922095	0
39	20	0	0.699867414	0
40	21	0	0.717812732	0
41	21	0	0.73575805	0
42	22	0	0.753703369	0
43	22	0	0.771648687	0
44	23	0	0.789594005	0
45	23	0	0.807539324	0
46	23	0	0.825484642	0
47	24	0	0.84342996	0
48	24	0	0.861375279	0
49	25	0	0.879320597	0
50	25	0	0.897265915	0
51	25	0	0.915211233	0
52	26	0	0.933156552	0
53	26	0	0.95110187	0
54	27	0	0.969047188	0
55	27	0	0.986992507	0
56	28	0	1.00493782	0
57	28	0	1.02288314	0
58	28	0	1.04082846	0
59	29	0	1.05877378	0
60	29	0	1.0767191	0
61	30	0	1.09466442	0
62	30	0	1.11260973	0
63	30	0	1.13055505	0
64	31	0	1.14850037	0
65	31	0	1.16644569	0
66	32	0	1.18439101	0
67	32	0	1.20233633	0
68	33	0	1.22028164	0
69	33	0	1.23822696	0
70	33	0	1.25617228	0
71	34	0	1.2741176	0
72	34	0	1.29206292	0
73	35	0	1.31000824	0
74	35	0	1.32795355	0
75	35	0	1.34589887	0
76	36	0	1.36384419	0
77	36	0	1.38178951	0
78	37	0	1.39973483	0
79	37	0	1.41768015	0
80	38	0	1.43562546	0
81	38	0	1.45357078	0
82	38	0	1.4715161	0
83	39	0	1.48946142	0
84	39	0	1.50740674	0
85	40	0	1.52535206	0
86	40	0	1.54329737	0
87	41	0	1.56124269	0
88	41	0	1.57918801	0
89	42	0	1.59713333	0
90	42	0	1.61507865	0
91	43	0	1.63302397	0
92	43	0	1.65096928	0
93	43	0	1.6689146	0
94	44	0	1.68685992	0
95	44	0	1.70480524	0
96	45	0	1.72275056	0
97	45	0	1.74069588	0
98	45	0	1.75864119	0
99	46	0	1.77658651	0
100	46	0	1.79453183	0
101	47	0	1.81247715	0
102	47	0	1.83042247	0
103	48	0	1.84836779	0
104	48	0	1.8663131	0
105	49	0	1.88425842	0
106	49	0	1.90220374	0
107	49	0	1.92014906	0
108	50	0	1.93809438	0
109	50	0	1.95603969	0
110	51	0	1.97398501	0
111	51	0	1.99193033	0
112	51	0	2.00987565	0
113	52	0	2.02782097	0
114	52	0	2.04576629	0
115	53	0	2.0637116	0
116	53	0	2.08165692	0
117	54	0	2.09960224	0
118	54	0	2.11754756	0
119	54	0	2.13549288	0
120	55	0	2.1534382	0
121	55	0	2.17138351	0
122	56	0	2.18932883	0
123	56	0	2.20727415	0
124	56	0	2.22521947	0
125	57	0	2.24316479	0
126	57	0	2.26111011	0
127	58	0	2.27905542	0
128	58	0	2.29700074	0
129	59	0	2.31494606	0
130	59	0	2.33289138	0
131	59	0	2.3508367	0
132	60	0	2.36878202	0
133	60	0	2.38672733	0
134	61	0	2.40467265	0
135	61	0	2.42261797	0
136	61	0	2.44056329	0
137	62	0	2.45850861	0
138	62	0	2.47645393	0
139	63	0	2.49439924	0
140	63	0	2.51234456	0
141	64	0	2.53028988	0
142	64	0	2.5482352	0
143	64	0	2.56618052	0
144	65	0	2.58412584	0
145	65	0	2.60207115	0
146	66	0	2.62001647	0
147	66	0	2.63796179	0
148	66	0	2.65590711	0
149	67	0	2.67385243	0
150	67	0	2.69179775	0
151	68	0	2.70974306	0
152	68	0	2.72768838	0
153	69	0	2.7456337	0
154	69	0	2.76357902	0
155	69	0	2.78152434	0
156	70	0	2.79946966	0
157	70	0	2.81741497	0
158	71	0	2.83536029	0
159	71	0	2.85330561	0
160	71	0	2.87125093	0
161	72	0	2.88919625	0
162	72	0	2.90714156	0
163	73	0	2.92508688	0
164	73	0	2.9430322	0
165	73	0	2.96097752	0
166	74	0	2.97892284	0
167	74	0	2.99686816	0
168	75	0	3.01481347	0
169	75	0	3.03275879	0
170	75	0	3.05070411	0
171	76	0	3.06864943	0
172	76	0	3.08659475	0
173	77	0	3.10454007	0
174	77	0	3.12248538	0
175	78	0	3.1404307	0
176	78	0	3.15837602	0
177	78	0	3.17632134	0
178	79	0	3.19426666	0
179	79	0	3.21221198	0
180	80	0	3.23015729	0
181	80	0	3.24810261	0
182	80	0	3.26604793	0
183	81	0	3.28399325	0
184	81	0	3.30193857	0
185	82	0	3.31988389	0
186	82	0	3.3378292	0
187	83	0	3.35577452	0
188	83	0	3.37371984	0
189	83	0	3.39166516	0
190	84	0	3.40961048	0
191	84	0	3.4275558	0
192	85	0	3.44550111	0
193	85	0	3.46344643	0
194	85	0	3.48139175	0
195	86	0	3.49933707	0
196	86	0	3.51728239	0
197	87	0	3.53522771	0
198	87	0	3.55317302	0
199	87	0	3.57111834	0
200	88	0	3.58906366	0
201	88	0	3.60700898	0
202	89	0	3.6249543	0
203	89	0	3.64289962	0
204	90	0	3.66084493	0
205	90	0	3.67879025	0
206	90	0	3.69673557	0
207	91	0	3.71468089	0
208	91	0	3.73262621	0
209	92	0	3.75057153	0
210	92	0	3.76851684	0
211	92	0	3.78646216	0
212	93	0	3.80440748	0
213	93	0	3.8223528	0
214	94	0	3.84029812	0
215	94	0	3.85824343	0
216	94	0	3.87618875	0
217	95	0	3.89413407	0
218	95	0	3.91207939	0
219	96	0	3.93002471	0
220	96	0	3.94797003	0
221	96	0	3.96591534	0
222	97	0	3.98386066	0
223	97	0	4.00180598	0
